fid,title,hint,common,autocomplete,required,weight,visible,name,type,size,maxsize,vtab
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,1,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,0,2,0,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,0,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,0,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,0,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,1,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,0,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,0,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,1,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,1,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,0,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,1,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,0,2,0,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,0,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,0,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,0,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,1,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,0,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,0,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,0,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,0,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,0,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,0,2,1,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,0,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,0,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,0,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,0,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,1,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,1,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,0,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,0,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,1,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,1,2,0,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,1,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,1,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,1,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,0,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,1,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,1,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,0,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,1,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,1,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,0,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,1,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,1,2,1,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,1,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,1,4,1,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,1,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,0,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,1,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,0,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,0,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,0,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,1,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,1,2,0,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,1,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,1,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
5,Corporate Authors,,0,0,1,5,0,biblio_corp_authors,contrib_widget,60,255,
6,Secondary Title,,0,0,0,12,1,biblio_secondary_title,textfield,60,255,
7,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255,
8,Accession Number,,0,0,0,151,0,biblio_accession_number,textfield,24,128,
9,ISBN Number,,0,0,0,150,0,biblio_isbn,textfield,24,128,
10,Call Number,,0,0,0,152,0,biblio_call_number,textfield,24,128,
11,Other Numbers,,0,0,0,153,0,biblio_other_number,textfield,10,128,
12,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255,
13,Publisher,Company or organization that issued the work,0,0,0,19,1,biblio_publisher,textfield,60,255,
14,Place Published,Location (usually city name),0,0,0,20,0,biblio_place_published,textfield,60,255,
15,Year of Publication,"Enter YYYY, Submitted or In Press",1,0,1,-45,1,biblio_year,textfield,4,20,
16,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255,
17,Volume,Volume number,0,0,0,14,0,biblio_volume,textfield,10,128,
18,Number,,0,0,0,16,0,biblio_number,textfield,10,128,
19,Pages,e.g. 23-25,0,0,0,17,0,biblio_pages,textfield,24,128,
20,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16,
21,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24,
22,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535,
23,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535,
24,Keywords,,0,0,0,154,0,biblio_keywords,textfield,60,1000,
25,Type of Work,Masters Thesis,0,0,0,22,0,biblio_type_of_work,textfield,60,255,
26,Related External URL,"If published or sold online, e.g. http://www.cambridge.org/isbn/1166158",1,0,0,158,1,biblio_url,textfield,60,255,
27,Notes,Add an annotation for this work. Note: To display go to Control Panel > Features > scholar_publications (settings link),1,0,0,157,1,biblio_notes,textarea,60,65535,
28,Issue,Issue number,0,0,0,15,0,biblio_issue,textfield,10,128,
29,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535,
30,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535,
31,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535,
32,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535,
33,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535,
34,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535,
35,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535,
36,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535,
37,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,128,
38,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255,
39,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255,
40,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255,
41,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255,
42,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255,
43,Section,Section number,0,0,0,15,0,biblio_section,textfield,10,128,
44,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255,
45,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535,
46,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,128,
47,DOI,,0,0,0,159,0,biblio_doi,textfield,60,255,
48,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535,
49,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255,
50,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255,
51,Label,,0,0,0,178,0,biblio_label,textfield,60,255,
52,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255,
53,Refereed Designation,,0,0,0,180,0,biblio_refereed,select,0,128,
1,Authors,Contributors to this work,1,1,1,1,1,biblio_authors,contrib_widget,60,255,
2,Secondary Authors,,0,0,0,2,0,biblio_secondary_authors,contrib_widget,60,255,
3,Tertiary Authors,,0,0,0,3,0,biblio_tertiary_authors,contrib_widget,60,255,
4,Subsidiary Authors,,0,0,0,4,0,biblio_subsidiary_authors,contrib_widget,60,255,
